school_name,team_id,logo_url,local_path,filename
Lenoir-Rhyne,550,https://s3.amazonaws.com/cstest/teams/LenoirRhyne.jpg.220x220_q95.jpg,school_logos/Lenoir-Rhyne_550.jpg,Lenoir-Rhyne_550.jpg
Lewis,57,https://s3.amazonaws.com/cstest/mb/2024/10/99aa61f3-7761-4f50-b296-83485db6ca78.jpg.220x220_q95.jpg,school_logos/Lewis_57.jpg,Lewis_57.jpg
Lynn,10002387,https://s3.amazonaws.com/cstest/teams/10002387/lynn-university-logo.jpg.220x220_q95.jpg,school_logos/Lynn_10002387.jpg,Lynn_10002387.jpg
Malone,626,https://s3.amazonaws.com/cstest/mb/2025/05/fe6a7920-7495-420a-9b40-a000870a6fee.jpg.220x220_q95.jpg,school_logos/Malone_626.jpg,Malone_626.jpg
Mars Hill,536,https://s3.amazonaws.com/cstest/mb/2016/07/629f5e19e28866f8adec30fb0e7e86a5_400x400_bSCeQUW.png.220x220_q95.jpg,school_logos/Mars_Hill_536.png,Mars_Hill_536.png
Maryville,10002186,https://s3.amazonaws.com/cstest/teams/Mvillesaints_1.png.220x220_q95.jpg,school_logos/Maryville_10002186.png,Maryville_10002186.png
McKendree,10008207,https://s3.amazonaws.com/cstest/mb/2016/09/TwitterLogo_ZujXLFb.jpg.220x220_q95.jpg,school_logos/McKendree_10008207.jpg,McKendree_10008207.jpg
Missouri S&T,447,https://s3.amazonaws.com/cstest/mb/2025/06/38080257-9017-4035-89d3-4620a92d19b8.jpg.220x220_q95.jpg,school_logos/Missouri_ST_447.jpg,Missouri_ST_447.jpg
Northern Michigan,72,https://s3.amazonaws.com/cstest/mb/2016/05/NMU.png.220x220_q95.png,school_logos/Northern_Michigan_72.png,Northern_Michigan_72.png
Nova Southeastern,655,https://s3.amazonaws.com/cstest/mb/2019/12/44ce76f0-f785-48.png.220x220_q95.png,school_logos/Nova_Southeastern_655.png,Nova_Southeastern_655.png
Oklahoma Christian,10009480,https://s3.amazonaws.com/cstest/mb/2020/06/bfa9eed3-c56c-4a.png.220x220_q95.png,school_logos/Oklahoma_Christian_10009480.png,Oklahoma_Christian_10009480.png
Ouachita Baptist,412,https://s3.amazonaws.com/cstest/teams/412/ouachita-baptist-university-logo.jpg.220x220_q95.jpg,school_logos/Ouachita_Baptist_412.jpg,Ouachita_Baptist_412.jpg
Pace,610,https://s3.amazonaws.com/cstest/mb/2019/09/c8847b6c-009f-4a.png.220x220_q95.png,school_logos/Pace_610.png,Pace_610.png
